rt,correct,model,final_boundary
1614.9999999999714,1,Classical DDM,
1040.0000000000005,0,Classical DDM,
1858.9999999999445,0,Classical DDM,
969.0000000000005,0,Classical DDM,
1244.0000000000007,1,Classical DDM,
2662.9999999998563,0,Classical DDM,
1172.0000000000007,1,Classical DDM,
894.0000000000003,1,Classical DDM,
1271.000000000001,0,Classical DDM,
849.0000000000005,0,Classical DDM,
912.0000000000003,1,Classical DDM,
640.0000000000001,1,Classical DDM,
415.00000000000006,1,Classical DDM,
660.0000000000001,1,Classical DDM,
861.0000000000003,1,Classical DDM,
2090.999999999919,1,Classical DDM,
481.0000000000001,1,Classical DDM,
2398.9999999998854,0,Classical DDM,
749.0000000000003,1,Classical DDM,
1650.9999999999675,0,Classical DDM,
558.0000000000001,1,Classical DDM,
1022.0000000000005,1,Classical DDM,
857.0000000000003,1,Classical DDM,
1561.9999999999773,1,Classical DDM,
478.0000000000001,0,Classical DDM,
783.0000000000003,1,Classical DDM,
2036.999999999925,1,Classical DDM,
1280.0000000000007,1,Classical DDM,
661.0000000000002,0,Classical DDM,
700.0000000000002,0,Classical DDM,
1046.0000000000005,1,Classical DDM,
586.0000000000002,1,Classical DDM,
581.0000000000002,1,Classical DDM,
1170.0000000000007,1,Classical DDM,
865.0000000000003,1,Classical DDM,
649.0000000000002,0,Classical DDM,
2142.999999999913,0,Classical DDM,
838.0000000000003,1,Classical DDM,
1332.0000000000007,0,Classical DDM,
1304.0000000000007,1,Classical DDM,
1104.0000000000005,1,Classical DDM,
720.0000000000002,0,Classical DDM,
768.0000000000002,1,Classical DDM,
1139.0000000000007,1,Classical DDM,
735.0000000000003,1,Classical DDM,
451.00000000000006,0,Classical DDM,
1762.999999999955,1,Classical DDM,
1105.0000000000005,0,Classical DDM,
564.0000000000001,0,Classical DDM,
651.0000000000002,0,Classical DDM,
1567.9999999999766,1,Classical DDM,
664.0000000000001,1,Classical DDM,
1313.0000000000007,1,Classical DDM,
1012.0000000000005,1,Classical DDM,
456.00000000000006,0,Classical DDM,
1735.999999999958,1,Classical DDM,
614.0000000000001,0,Classical DDM,
534.0000000000001,0,Classical DDM,
1525.9999999999811,1,Classical DDM,
753.0000000000003,1,Classical DDM,
1004.0000000000005,1,Classical DDM,
1329.0000000000007,1,Classical DDM,
497.0000000000001,1,Classical DDM,
797.0000000000003,1,Classical DDM,
1927.9999999999368,1,Classical DDM,
884.0000000000003,1,Classical DDM,
1784.9999999999527,1,Classical DDM,
785.0000000000003,1,Classical DDM,
1025.0000000000005,0,Classical DDM,
1106.0000000000005,1,Classical DDM,
626.0000000000001,1,Classical DDM,
2528.9999999998713,1,Classical DDM,
1445.99999999999,1,Classical DDM,
1144.0000000000007,1,Classical DDM,
749.0000000000003,1,Classical DDM,
477.0000000000001,1,Classical DDM,
739.0000000000003,1,Classical DDM,
737.0000000000003,0,Classical DDM,
485.0000000000001,1,Classical DDM,
2045.9999999999238,0,Classical DDM,
1023.0000000000006,0,Classical DDM,
978.0000000000005,1,Classical DDM,
1217.0000000000005,1,Classical DDM,
1406.9999999999943,0,Classical DDM,
2131.9999999999145,1,Classical DDM,
647.0000000000002,1,Classical DDM,
1362.999999999999,1,Classical DDM,
581.0000000000002,0,Classical DDM,
841.0000000000005,1,Classical DDM,
3282.999999999788,1,Classical DDM,
629.0000000000002,1,Classical DDM,
447.00000000000006,1,Classical DDM,
452.00000000000006,1,Classical DDM,
1315.000000000001,1,Classical DDM,
1195.0000000000007,1,Classical DDM,
967.0000000000005,1,Classical DDM,
721.0000000000003,0,Classical DDM,
1402.9999999999948,1,Classical DDM,
772.0000000000002,1,Classical DDM,
583.0000000000002,0,Classical DDM,
1677.9999999999643,1,Classical DDM,
1971.999999999932,1,Classical DDM,
1924.9999999999372,1,Classical DDM,
854.0000000000003,1,Classical DDM,
1426.999999999992,1,Classical DDM,
645.0000000000002,1,Classical DDM,
1146.0000000000007,0,Classical DDM,
926.0000000000003,1,Classical DDM,
1099.0000000000007,1,Classical DDM,
1340.0000000000007,1,Classical DDM,
886.0000000000003,1,Classical DDM,
3678.9999999997444,1,Classical DDM,
606.0000000000001,0,Classical DDM,
461.00000000000006,1,Classical DDM,
3383.999999999777,1,Classical DDM,
1430.9999999999916,0,Classical DDM,
1985.9999999999304,1,Classical DDM,
548.0000000000001,0,Classical DDM,
1235.0000000000007,1,Classical DDM,
610.0000000000001,1,Classical DDM,
568.0000000000002,1,Classical DDM,
775.0000000000003,1,Classical DDM,
1239.0000000000007,1,Classical DDM,
787.0000000000003,0,Classical DDM,
971.0000000000005,1,Classical DDM,
587.0000000000002,0,Classical DDM,
1272.0000000000007,1,Classical DDM,
2051.999999999923,1,Classical DDM,
756.0000000000002,1,Classical DDM,
928.0000000000003,1,Classical DDM,
1650.9999999999675,0,Classical DDM,
724.0000000000002,1,Classical DDM,
492.0000000000001,1,Classical DDM,
723.0000000000003,1,Classical DDM,
2373.999999999888,0,Classical DDM,
1521.9999999999816,1,Classical DDM,
548.0000000000001,1,Classical DDM,
1312.0000000000007,0,Classical DDM,
735.0000000000003,0,Classical DDM,
600.0000000000001,1,Classical DDM,
1020.0000000000005,0,Classical DDM,
868.0000000000003,1,Classical DDM,
543.0000000000001,0,Classical DDM,
707.0000000000003,1,Classical DDM,
579.0000000000002,0,Classical DDM,
1156.0000000000007,1,Classical DDM,
508.0000000000001,1,Classical DDM,
741.0000000000003,0,Classical DDM,
2732.9999999998486,1,Classical DDM,
762.0000000000002,0,Classical DDM,
775.0000000000003,1,Classical DDM,
3431.9999999997717,1,Classical DDM,
1951.9999999999343,1,Classical DDM,
2777.9999999998436,0,Classical DDM,
599.0000000000002,1,Classical DDM,
1019.0000000000006,1,Classical DDM,
1041.0000000000005,1,Classical DDM,
525.0000000000001,0,Classical DDM,
2920.999999999828,0,Classical DDM,
