participantId,trialNumber,condition,coherence,direction,response,rt,correct,timeout,timestamp
P_1762992885024_p5b1b9,1,baseline,0.1,right,right,1783,true,false,Thu Nov 13 2025 05:45:22 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,2,baseline,0.4,left,right,1271,false,false,Thu Nov 13 2025 05:45:24 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,3,baseline,0.25,left,left,1243,true,false,Thu Nov 13 2025 05:45:26 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,4,baseline,0.1,left,right,1506,false,false,Thu Nov 13 2025 05:45:28 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,5,baseline,0.1,right,right,1193,true,false,Thu Nov 13 2025 05:45:30 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,6,baseline,0.1,left,right,1440,false,false,Thu Nov 13 2025 05:45:33 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,7,baseline,0.25,right,left,2292,false,false,Thu Nov 13 2025 05:45:36 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,8,baseline,0.25,right,right,1957,true,false,Thu Nov 13 2025 05:45:38 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,9,baseline,0.1,left,right,2596,false,false,Thu Nov 13 2025 05:45:42 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,10,baseline,0.1,left,right,2259,false,false,Thu Nov 13 2025 05:45:45 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,11,baseline,0.25,left,right,2515,false,false,Thu Nov 13 2025 05:45:48 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,12,baseline,0.4,right,right,1594,true,false,Thu Nov 13 2025 05:45:51 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,13,baseline,0.1,left,right,1120,false,false,Thu Nov 13 2025 05:45:53 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,14,baseline,0.1,right,right,1733,true,false,Thu Nov 13 2025 05:45:55 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,15,baseline,0.25,left,left,1744,true,false,Thu Nov 13 2025 05:45:58 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,16,baseline,0.25,right,right,1056,true,false,Thu Nov 13 2025 05:46:00 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,17,baseline,0.25,right,right,2958,true,false,Thu Nov 13 2025 05:46:03 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,18,baseline,0.1,right,right,2352,true,false,Thu Nov 13 2025 05:46:06 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,19,baseline,0.4,left,left,1029,true,false,Thu Nov 13 2025 05:46:08 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,20,baseline,0.4,right,right,970,true,false,Thu Nov 13 2025 05:46:10 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,21,baseline,0.25,left,left,1874,true,false,Thu Nov 13 2025 05:46:13 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,22,baseline,0.4,right,right,1049,true,false,Thu Nov 13 2025 05:46:15 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,23,baseline,0.25,right,left,1437,false,false,Thu Nov 13 2025 05:46:17 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,24,baseline,0.1,left,right,1364,false,false,Thu Nov 13 2025 05:46:19 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,25,baseline,0.25,left,left,751,true,false,Thu Nov 13 2025 05:46:21 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,26,baseline,0.25,left,right,312,false,false,Thu Nov 13 2025 05:46:22 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,27,baseline,0.4,right,right,288,true,false,Thu Nov 13 2025 05:46:23 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,28,baseline,0.25,left,right,275,false,false,Thu Nov 13 2025 05:46:24 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,29,baseline,0.4,left,right,342,false,false,Thu Nov 13 2025 05:46:25 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,30,baseline,0.25,left,right,290,false,false,Thu Nov 13 2025 05:46:26 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,31,baseline,0.4,right,right,12319,true,false,Thu Nov 13 2025 05:46:39 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,32,baseline,0.1,right,left,1945,false,false,Thu Nov 13 2025 05:46:42 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,33,baseline,0.4,left,right,463,false,false,Thu Nov 13 2025 05:46:43 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,34,baseline,0.4,right,right,991,true,false,Thu Nov 13 2025 05:46:45 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,35,baseline,0.1,left,left,1435,true,false,Thu Nov 13 2025 05:46:47 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,36,baseline,0.4,left,right,1492,false,false,Thu Nov 13 2025 05:46:50 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,37,baseline,0.4,left,right,2077,false,false,Thu Nov 13 2025 05:46:53 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,38,baseline,0.25,right,left,494,false,false,Thu Nov 13 2025 05:46:54 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,39,baseline,0.4,left,right,683,false,false,Thu Nov 13 2025 05:46:55 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,40,baseline,0.1,right,left,434,false,false,Thu Nov 13 2025 05:46:57 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,41,baseline,0.1,right,right,527,true,false,Thu Nov 13 2025 05:46:58 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,42,baseline,0.25,right,left,479,false,false,Thu Nov 13 2025 05:46:59 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,43,baseline,0.1,left,right,514,false,false,Thu Nov 13 2025 05:47:01 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,44,baseline,0.1,right,left,473,false,false,Thu Nov 13 2025 05:47:02 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,45,baseline,0.25,right,right,561,true,false,Thu Nov 13 2025 05:47:03 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,46,baseline,0.25,left,left,1472,true,false,Thu Nov 13 2025 05:47:06 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,47,baseline,0.4,right,right,657,true,false,Thu Nov 13 2025 05:47:07 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,48,baseline,0.4,left,left,1283,true,false,Thu Nov 13 2025 05:47:09 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,49,baseline,0.4,right,right,682,true,false,Thu Nov 13 2025 05:47:11 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,50,baseline,0.1,left,left,1738,true,false,Thu Nov 13 2025 05:47:13 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,51,baseline,0.1,left,right,749,false,false,Thu Nov 13 2025 05:47:15 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,52,baseline,0.25,right,right,1090,true,false,Thu Nov 13 2025 05:47:17 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,53,baseline,0.4,right,right,1299,true,false,Thu Nov 13 2025 05:47:19 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,54,baseline,0.4,right,left,1178,false,false,Thu Nov 13 2025 05:47:21 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,55,baseline,0.4,left,right,1237,false,false,Thu Nov 13 2025 05:47:23 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,56,baseline,0.1,right,left,1710,false,false,Thu Nov 13 2025 05:47:25 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,57,baseline,0.25,left,right,1145,false,false,Thu Nov 13 2025 05:47:27 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,58,baseline,0.25,right,right,1570,true,false,Thu Nov 13 2025 05:47:30 GMT+0530 (India Standard Time)
P_1762992885024_p5b1b9,59,baseline,0.1,right,left,762,false,false,Thu Nov 13 2025 05:47:31 GMT+0530 (India Standard Time)
