participantId,age,gender,handedness,startTime,completedAt,totalDuration
P_1762992885024_p5b1b9,23,male,right,Thu Nov 13 2025 05:44:45 GMT+0530 (India Standard Time),Thu Nov 13 2025 05:49:29 GMT+0530 (India Standard Time),285
P_1764571000181_bnn9tm,21,female,right,Mon Dec 01 2025 12:06:40 GMT+0530 (India Standard Time),Mon Dec 01 2025 12:12:30 GMT+0530 (India Standard Time),350
P_1764571712715_czu1sr,22,female,right,Mon Dec 01 2025 12:18:32 GMT+0530 (India Standard Time),Mon Dec 01 2025 12:21:59 GMT+0530 (India Standard Time),207
P_1764571750934_l7o4a6,22,female,right,Mon Dec 01 2025 12:19:10 GMT+0530 (India Standard Time),Mon Dec 01 2025 12:25:20 GMT+0530 (India Standard Time),369
P_1764571869055_o9pl09,22,female,right,Mon Dec 01 2025 12:21:09 GMT+0530 (India Standard Time),Mon Dec 01 2025 12:24:57 GMT+0530 (India Standard Time),229
P_1764571872850_exjw0o,19,male,ambidextrous,Mon Dec 01 2025 12:21:12 GMT+0530 (India Standard Time),Mon Dec 01 2025 12:26:28 GMT+0530 (India Standard Time),315
P_1764572247825_vlgga6,19,male,right,Mon Dec 01 2025 12:27:27 GMT+0530 (India Standard Time),Mon Dec 01 2025 12:30:19 GMT+0530 (India Standard Time),172
P_1764572921592_vcjkaf,25,male,right,Mon Dec 01 2025 12:38:41 GMT+0530 (India Standard Time),Mon Dec 01 2025 12:41:43 GMT+0530 (India Standard Time),182
P_1764609180232_8cm9wx,23,male,right,Mon Dec 01 2025 22:43:00 GMT+0530 (India Standard Time),Mon Dec 01 2025 22:46:31 GMT+0530 (India Standard Time),211
P_1764615767170_usqumy,21,male,right,Tue Dec 02 2025 00:32:47 GMT+0530 (India Standard Time),Tue Dec 02 2025 00:38:25 GMT+0530 (India Standard Time),338
